cluster,country
Eastern Europe,Bulgaria
SE Asia,Cambodia
Nordic Europe,Greenland
Germanic Europe,Belgium
Germanic Europe,Netherlands
SE Asia,Suriname
Eastern Europe,Armenia
Nordic Europe,Estonia
SE Asia,Philippines
Nordic Europe,Finland
African,Madagascar
Latin Europe,France
African,Haiti
African,Benin
African,Djibouti
African,Cote d'Ivoire
African,Mali
African,Togo
African,Gabon
African,Central African Republic
African,Chad
African,Democratic Republic of the Congo
African,Burkina Faso
African,Guinea
African,Niger
African,Senegal
Eastern Europe,Georgia
Germanic Europe,Germany
Germanic Europe,Austria
Nordic Europe,Sweden
Eastern Europe,Hungary
Nordic Europe,Iceland
SE Asia,Indonesia
Latin Europe,Italy
Confucian Asia ,Japan
Eastern Europe,Kazakhstan
Confucian Asia,South Korea
Confucian Asia,North Korea
SE Asia,Laos
Nordic Europe,Latvia
Nordic Europe,Lithuania
Latin Europe,Malta
Confucian Asia,China
,Marshall Islands
Eastern Europe,Greece
Eastern Europe,Cyprus
Latin Europe,Israel
Nordic Europe,Norway
Eastern Europe,Poland
Latin America,Brazil
,Sao Tome and Principe
Latin Europe,Portugal
Latin Europe,Moldova
Latin Europe,Romania
Eastern Europe,Ukraine
,Samoa
SE Asia,American Samoa
Eastern Europe,Serbia
Eastern Europe,Bosnia and Herzegovina
Eastern Europe,Croatia
SE Asia,Sri Lanka
Eastern Europe,Slovenia
African,Somalia
African,Lesotho
Latin America,El Salvador
Latin America,Nicaragua
Latin America,Costa Rica
Latin America,Cuba
Latin America,Uruguay
Latin America,Venezuela
Latin America,Peru
Latin America,Argentina
Latin America,Honduras
Latin America,Colombia
Latin America,Puerto Rico
Latin America,Paraguay
Latin America ,Ecuador
Latin America,Dominican Republic
Latin America,Panama
Latin America,Chile
Latin America,Mexico
Middle East,Yemen
Middle East,Oman
Middle East,Tunisia
Middle East,Qatar
Middle East,Iraq
Middle East,Lebanon
Middle East,Kuwait
Middle East,Bahrain
Middle East,Mauritania
Middle East,Syria
Middle East,Libya
Middle East,Egypt
Middle East,Morocco
Middle East,Sudan
Middle East,Saudi Arabia
Middle East,Jordan
Middle East,United Arab Emirates
African,Comoros
SE Asia,Brunei
SE Asia,Malaysia
African,Tanzania
Confucian Asia,Thailand
African,Eritrea
SE Asia,Papua New Guinea
Middle East,Turkey
Confucian Asia,Vietnam
Middle East,Iran
SE Asia,Burma
Eastern Europe,Czechia
African,Republic of the Congo
Eastern Europe,Russia
